S_ID,typeNP,region,c1,c2,c4,c5,c5.1,c6,c6.1,c7,c7.1_1,c7.1_2,c7.1_3,c7.1_4,c7.1_5,child,c13,c10,c10t,c8.1,c8.2,c8.3,c9.1,c9.2,c9.3,c10.1_1,c10.1_2,c10.1_3,c10.1_4,c10.1t,c10.2_1,c10.2_2,c10.2_3,c10.2_4,c10.2_5,c10.2_6,c10.2_7,c10.2_8,c10.2_9,c10.2_10,c10.2t,c11,c12,d1,d2,d3,d3t,d4,d5_1,d5_2,d5_3,d5_4,d5_5,d5_6,d5_7,d5_8,d5_9,MESSAGE,Link,q13,q8.1,q8.2,q8.3,q9.1,q9.2,q9.3,q11,q12
123983,1.00,1.00,7,63,2,22,1.00,1,1,1,1,0,0,0,0,1.00,4,4,,4,5,4,4,4,4,,,,,,,,,,,,,,,,,3,,4,2,10,,1,1,1,1,1,1,0,1,0,0,3,3,4,4,4,4,4,4,4,4,
124117,1.00,1.00,7,65,2,32,2.00,1,1,2,0,0,1,1,0,4.00,2,1,,2,2,2,1,2,2,,,,,,,,,,,,,,,,,,1,4,1,12,,2,1,0,0,1,0,0,0,0,0,3,2,2,1,2,2,1,2,2,,1
124360,3.00,1.00,21,50,2,34,2.00,1,1,1,0,1,0,0,0,2.00,1,1,,1,2,1,1,2,2,,,,,,,,,,,,,,,,,,1,6,2,3,,3,1,0,1,1,1,1,0,0,0,3,3,1,1,2,2,1,1,1,,1
124418,1.00,1.00,21,49,2,33,2.00,1,1,2,1,0,0,1,0,4.00,1,1,,1,3,2,1,1,3,,,,,,,,,,,,,,,,,,1,6,2,13,,3,0,1,0,0,1,0,1,0,0,3,1,1,1,1,2,1,1,2,,1
124521,2.00,1.00,10,19,2,31,2.00,1,1,5,1,0,1,1,0,4.00,1,1,,1,2,2,1,1,1,,,,,,,,,,,,,,,,,,1,6,3,13,,2,1,1,1,0,1,1,1,0,0,3,1,1,2,2,2,2,2,2,,1
124561,1.00,4.00,16,36,2,28,2.00,1,1,2,1,1,0,0,0,2.00,3,1,,3,4,4,2,2,2,,,,,,,,,,,,,,,,,,2,5,2,10,,2,1,1,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,,2
124598,3.00,3.00,2,27,2,34,2.00,1,1,1,0,1,0,0,0,2.00,1,1,,1,3,1,1,3,1,,,,,,,,,,,,,,,,,,1,6,2,5,,3,1,0,1,1,1,1,0,0,0,3,3,1,1,3,1,1,3,1,,1
124627,1.00,2.00,23,53,2,55,3.00,1,1,1,0,1,0,0,0,2.00,2,2,,2,3,3,2,3,2,1,0,0,0,,,,,,,,,,,,,1,,6,2,14,,2,1,0,0,1,1,0,0,0,0,3,3,2,2,3,3,2,3,3,2,
124632,1.00,2.00,11,22,2,40,2.00,1,1,2,0,0,1,0,1,5.00,5,2,,5,5,5,6,5,6,0,1,0,0,,,,,,,,,,,,,5,,6,2,1,,3,1,0,1,1,1,1,1,0,0,3,3,5,5,5,5,4,5,4,5,
124675,1.00,2.00,5,3,2,38,2.00,1,1,2,0,1,0,0,0,2.00,3,4,,4,3,3,5,2,4,,,,,,,,,,,,,,,,,3,,6,2,13,,4,1,0,0,1,1,1,0,0,0,3,3,2,2,4,2,2,3,2,3,
124704,3.00,3.00,2,27,2,19,1.00,1,1,4,1,1,1,1,0,4.00,1,1,,1,2,2,1,2,2,,,,,,,,,,,,,,,,,,1,5,2,13,,3,1,0,1,1,1,0,0,0,0,3,1,2,2,2,1,1,2,1,,1
