CUSTOMER_ID,LOYALTY_SEGMENT,CHEFS_TABLE,AGE, INCOME ,GENDER,ZIP_CODE,DMA,GEOGRAPHY,ACQUIRED_DATE,12 Mo. DELIVERY_FEE_PAID,12 Mo. DELIVERYPASS_USED,12 Mo. DISCOUNT_AMOUNT,12 Mo. Orders,12 Mo. ORDERS_W_PROMO,12_Mo_Sales,24 Mo. DELIVERY_FEE_PAID,24 Mo. DELIVERYPASS_USED,24 Mo. DISCOUNT_AMOUNT,24 Mo. Orders,24 Mo. Orders w. Promo,24 Mo. Sales, SUNDAY ORDERS 12 MO.,MONDAY ORDERS 12 MO.,TUESDAY ORDERS 12 MO.,WEDNESDAY ORDERS 12 MO.,THURSDAY ORDERS 12 MO.,FRIDAY ORDERS 12 MO.,SATURDAY ORDERS 12 MO.,AlcoholicBeverages,BabyBoutique,Bakery,Bread,Catering,Dairy,DeliandCheese,Floral,Freezer,Grocery,HealthandBeautyAids,HouseholdEssentials,Kitchen,MealKit,Meat,NonalcoholicBeverages,PetShop,Poultry,Produce,Seafood,Snacks
11998309530,3. Every Three Week Shoppers,1,61,40000,F,10024,NY-NJ,Manhattan,4/9/2017 0:00,0,23,39.80,26,10,2711,0,23,39.8,23,10,2711,1,1,5,8,3,4,2,0,0,0,0.05,0,0.13,0.05,0,0.01,0.04,0,0.01,0.46,0,0,0.03,0,0,0.13,0,0.1
1089785592,3. Every Three Week Shoppers,1,59,75000,F,10014,NY-NJ,Manhattan,5/8/2006 0:00,174.74,0,8.71,26,7,2714,294.54,0,8.73,46,9,5313, -   ,1,2,15, -   ,2,6,0,0,0,0.02,0,0.17,0.04,0,0.05,0.06,0,0.04,0.33,0,0,0.17,0,0,0.1,0,0.02
10853247123,3. Every Three Week Shoppers,0,56,250000,M,10023,NY-NJ,Manhattan,4/30/2012 0:00,133.8,0,25.00,20,2,2724,199.69,0,25.04,31,6,4292, -   ,8,1,3,6,1,1,0,0,0,0,0,0.01,0,0,0,0.14,0.03,0.38,0,0,0,0.44,0,0,0,0,0
1059184352,3. Every Three Week Shoppers,0,34,200000,M,10024,NY-NJ,Manhattan,4/23/2006 0:00,126.81,0,4.30,19,3,2734,252.6,0,6.3,40,4,5462,4,4,4,1,1,3,2,0.01,0,0,0,0,0.06,0.21,0,0.04,0.06,0.02,0.02,0.19,0.03,0.02,0.12,0,0.04,0.07,0.06,0.06
10306764484,3. Every Three Week Shoppers,1,39,-1,F,10024,NY-NJ,Manhattan,2/15/2012 0:00,0,18,0.01,19,1,2736,0,34,0.04,34,4,5222,1,2,5,4, -   ,3,3,0,0,0,0.02,0,0.28,0,0,0.03,0.11,0,0.13,0,0.01,0,0.36,0,0,0.04,0,0.02
11171298266,3. Every Three Week Shoppers,0,37,75000,M,10023,NY-NJ,Manhattan,6/8/2012 0:00,13.98,0,196.22,27,27,2737,61.9,0,347.25,55,51,5349,14, -   ,2,1,1,6,3,0,0,0,0.07,0,0.38,0,0,0.04,0.06,0,0.01,0,0,0,0,0,0.15,0.19,0.07,0.03
10133695829,3. Every Three Week Shoppers,0,31,150000,M,10001,NY-NJ,Manhattan,1/23/2012 0:00,0,14,0.05,21,5,2740,0,19,0.05,19,5,3685,1,3,4,3,5,2,1,0.01,0,0.01,0.02,0,0.06,0.02,0,0.03,0.13,0.02,0.09,0.06,0,0.06,0.08,0,0.14,0.18,0.07,0.02
10835383505,3. Every Three Week Shoppers,0,41,75000,F,11103,NY-NJ,Queens,4/25/2012 0:00,6.99,15,65.79,21,9,2741,18.97,15,105.52,25,14,3824,10,1, -   ,1,1,1,5,0,0,0.01,0.01,0,0.06,0.05,0,0.06,0.02,0,0,0,0,0.1,0,0,0.17,0.42,0.11,0
11860000901,3. Every Three Week Shoppers,1,32,150000,M,11233,NY-NJ,Brooklyn,9/16/2012 0:00,0,26,12.61,29,7,2741,0,56,12.66,57,12,5707,9,3,11,1, -   , -   ,3,0.17,0,0.03,0.07,0,0.06,0.06,0,0.19,0.04,0,0.01,0.1,0,0.05,0.11,0,0,0.09,0,0.02
10324608017,3. Every Three Week Shoppers,0,76,250000,F,10012,NY-NJ,Manhattan,2/16/2012 0:00,66.9,0,114.87,23,15,2746,90.86,0,169,35,24,4253,2,4,2,2,6,5,2,0,0,0.09,0,0,0.04,0.04,0.07,0.05,0.04,0.01,0.11,0.03,0,0.13,0.24,0,0.01,0.1,0.05,0
